id,capability,repository,url,license_cost_status,overlap_or_replacement,phase,required_credentials,blockers,self_hosting_decision,clone_command,stable_ref_guidance,self_hosting_manifest,stable_ref_status,stable_ref_rationale
keycloak,identity,keycloak,https://github.com/keycloak/keycloak,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P1,KEYCLOAK_URL,keycloak: local compose profile exists; initialize locally and complete security/license review before use.,self-hostable-local-foundation,git clone --filter=blob:none https://github.com/keycloak/keycloak integrations/upstream/keycloak,reviewed immutable HEAD commit 4b6b3929b655a0412c422ff4e8cde67ef12b26f9 on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,integrations/compose/docker-compose.yml (profile: core/ledger); initialize and review locally,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
openbao,secrets,openbao,https://github.com/openbao/openbao,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P1,OPENBAO_URL,openbao: local compose profile exists; initialize locally and complete security/license review before use.,self-hostable-local-foundation,git clone --filter=blob:none https://github.com/openbao/openbao integrations/upstream/openbao,reviewed immutable HEAD commit 1859768bdb897d92723c68f8457128c9fd707a98 on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,integrations/compose/docker-compose.yml (profile: core/ledger); initialize and review locally,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
kong,gateway,kong,https://github.com/kong/kong,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P1,KONG_URL,kong: local compose profile exists; initialize locally and complete security/license review before use.,self-hostable-local-foundation,git clone --filter=blob:none https://github.com/kong/kong integrations/upstream/kong,reviewed immutable HEAD commit 3091de006da341d5f289d446a3d73875a14560e0 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,integrations/compose/docker-compose.yml (profile: core/ledger); initialize and review locally,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
blnk,ledger,blnk,https://github.com/blnk/blnk,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P1,BLNK_URL,blnk: local compose profile exists; initialize locally and complete security/license review before use.,self-hostable-local-foundation,git clone --filter=blob:none https://github.com/blnk/blnk integrations/upstream/blnk,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,integrations/compose/docker-compose.yml (profile: core/ledger); initialize and review locally,unknown/unverified,"The recorded repository URL https://github.com/blnk/blnk could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
dolos,compliance,dolos,https://github.com/dolos/dolos,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P1,DOLOS_URL,"dolos: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/dolos/dolos integrations/upstream/dolos,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: dolos — dolos: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",unknown/unverified,"The recorded repository URL https://github.com/dolos/dolos could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
firecracker,integration,firecracker,https://github.com/firecracker/firecracker,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,FIRECRACKER_URL,"firecracker: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/firecracker/firecracker integrations/upstream/firecracker,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: firecracker — firecracker: requires unavailable host capability, Kubernetes, GPU, or privileged networking in this baseline.",unknown/unverified,"The recorded repository URL https://github.com/firecracker/firecracker could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
gvisor,integration,gvisor,https://github.com/gvisor/gvisor,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,GVISOR_URL,"gvisor: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/gvisor/gvisor integrations/upstream/gvisor,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: gvisor — gvisor: requires unavailable host capability, Kubernetes, GPU, or privileged networking in this baseline.",unknown/unverified,"The recorded repository URL https://github.com/gvisor/gvisor could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
trivy,security,trivy,https://github.com/trivy/trivy,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P1,TRIVY_URL,"trivy: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/trivy/trivy integrations/upstream/trivy,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: trivy — trivy: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",unknown/unverified,"The recorded repository URL https://github.com/trivy/trivy could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
vaultwarden,secrets,vaultwarden,https://github.com/vaultwarden/vaultwarden,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,VAULTWARDEN_URL,"vaultwarden: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/vaultwarden/vaultwarden integrations/upstream/vaultwarden,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: vaultwarden — vaultwarden: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/vaultwarden/vaultwarden could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
minio,storage,minio,https://github.com/minio/minio,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,MINIO_URL,"minio: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/minio/minio integrations/upstream/minio,reviewed immutable HEAD commit 7aac2a2c5b7c882e68c1ce017d8256be2feea27f on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,"blocked record: minio — minio: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
